Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/22/2017,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,I recently file a dispute with a collection agencies Experian claim that they removed the account from my credit file they failed to send me a updated copy of a credit report. I have the right per the FCRA LAWS TO RECIEVE THAT COPY FOR MY RECORDS AND SLICK AND DISHONEST IS I WOULD LIKE A UPDATED COPY OF MY REPORT ALSO NOTIFICATION THAT THE ACCOUNT WAS DELETED FOR MY RECORD,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,MN,553XX,,Consent provided,Web,03/22/2017,Closed with explanation,Yes,No,2399680
04/20/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NE,69153,,,Web,04/20/2017,In progress,Yes,No,2444415
04/19/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,EVERBANK,PA,18709,,N/A,Postal mail,04/21/2016,Closed with explanation,Yes,No,1885683
03/31/2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,CARRINGTON MORTGAGE SERVICES,FL,33441,,N/A,Phone,04-03-2017,Closed with explanation,Yes,No,2414536
03/14/2017,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,PA,19121,,N/A,Referral,03/15/2017,Closed with non-monetary relief,Yes,No,2386346
04-04-2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",GA,310XX,,,Web,04-04-2017,Closed with explanation,Yes,No,2417210
04/19/2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,SC,294XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2443518
04/17/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,CA,95070,,,Web,04/17/2017,Closed with explanation,Yes,No,2437903
04/20/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",TX,775XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2444183
04/20/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",CT,067XX,,,Web,04/20/2017,Closed with explanation,Yes,No,2444882
04/20/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Seterus, Inc.",NY,14112,,N/A,Referral,04/21/2017,Closed with explanation,Yes,No,2444847
11-03-2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,,"Empowerment Ventures, LLC",CA,92346,,N/A,Phone,11-04-2015,Closed with non-monetary relief,Yes,No,1639884
04/18/2017,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,070XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2441105
03-04-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I had a phone contract with XXXX years ago. When I paid my final bill, I continue to get bills. I paid the last bill that was supposed to be my final bill. Then I received notifications from a collection agency that I owed more money then after paying them about 6 months ago it 's being reported on my credit report when I was told it would not be reported.",,"Convergent Resources, Inc.",IL,604XX,,Consent provided,Web,03-04-2017,Closed with explanation,Yes,No,2371641
04/20/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",WA,98115,,N/A,Referral,04/20/2017,Closed with explanation,Yes,No,2443854
03-07-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,,,United Student Aid (USA) Funds,MA,018XX,,,Web,03/25/2017,Closed with explanation,Yes,No,2372832
04/19/2017,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,"QUICKEN LOANS, INC.",FL,33527,,,Web,04/19/2017,In progress,Yes,No,2441992
04/19/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",MI,48340,,,Web,04/19/2017,In progress,Yes,No,2442184
03-08-2017,Debt collection,Federal student loan,Communication tactics,Threatened to take legal action,,,Law Offices of Goldsmith & Hull A.P.C.,TX,760XX,,,Web,03/31/2017,Closed with explanation,No,No,2377952
03/31/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,CA,92029,,N/A,Referral,04-06-2017,Closed with explanation,Yes,No,2414115
03-05-2017,Credit card,,Customer service / Customer relations,,,,AMERICAN EXPRESS CENTURION BANK,FL,32092,,Consent not provided,Web,03-05-2017,Closed with monetary relief,Yes,Yes,2371819
04/19/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMORGAN CHASE & CO.,CT,068XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2441698
04/21/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,Company believes it acted appropriately as authorized by contract or law,"Loan Science, LLC",OH,44611,,Consent not provided,Web,04/21/2017,Closed with explanation,Yes,No,2446663
04/18/2017,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MIDFIRST BANK,PA,19124,,N/A,Postal mail,04/19/2017,Closed with explanation,Yes,No,2440614
04/20/2017,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Dwight Financial, Inc.",CA,90016,,,Web,04/20/2017,Closed with explanation,Yes,No,2442288
04/18/2017,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,TCF NATIONAL BANK,VA,241XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2440843
04/19/2017,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt is not mine,,,FINEX Group LLC,CA,946XX,,,Web,04/19/2017,In progress,Yes,No,2441635
03/22/2017,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,There is a late payment on my Experian credit report. It was removed and now has been reinserted on my credit report.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NY,117XX,,Consent provided,Web,03/22/2017,Closed with explanation,Yes,No,2399086
04/17/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,LA,70726,Older American,,Web,04/17/2017,Closed with monetary relief,No,No,2437847
04/18/2017,Debt collection,Auto,Disclosure verification of debt,Right to dispute notice not received,,,Riverwalk Financial Corporation,OH,454XX,,,Web,04/18/2017,Untimely response,No,No,2438094
03/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,33418,,N/A,Referral,03/21/2017,Closed with non-monetary relief,Yes,No,2398201
04/17/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Alliance Data Card Services,CA,94513,,N/A,Phone,04/18/2017,Closed with monetary relief,Yes,No,2439301
04/19/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,DISCOVER BANK,WA,98104,,N/A,Referral,04/19/2017,Closed with explanation,Yes,No,2441573
03/23/2017,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,"HUNTINGTON NATIONAL BANK, THE",,,,N/A,Phone,03/23/2017,Closed with monetary relief,Yes,No,2402012
03/21/2017,Credit reporting,,Incorrect information on credit report,Account terms,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NV,89103,,Consent not provided,Web,03/21/2017,Closed with non-monetary relief,Yes,No,2397719
04/18/2017,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,,"General Financial, Inc.",MD,20646,Servicemember,,Web,04/18/2017,Untimely response,No,No,2438121
04/17/2017,Consumer Loan,Installment loan,Managing the loan or lease,,,,PORTFOLIO RECOVERY ASSOCIATES INC,OR,97223,Servicemember,Other,Web,04/18/2017,Closed with explanation,Yes,No,2438585
02/28/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Eagle Accounts Group, Inc.",IN,46184,,Consent not provided,Web,03-04-2017,Closed with explanation,Yes,No,2364555
04-10-2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,IL,62702,,,Web,04-11-2017,Closed with explanation,Yes,No,2428289
02-08-2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,TX,77584,,Consent not provided,Web,03/21/2017,Closed with explanation,Yes,No,2332232
03-04-2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,"In 2001, I enrolled in XXXX in XXXX, Colorado ( later moved to XXXX, Colorado ) for the XXXX program with XXXX servicing my loan. As you may or may not be aware, XXXX is now closed due to an investigation into fraudulent practices. When it came time to repay my loan with XXXX, I did so as directed. In doing so, I noticed many times that no matter when I made the payment, the next statement would show up showing I owed late fees. I attempted to pay early so that I would n't accrue late fees and still they would show up on the following months statement. Phone calls to XXXX were not helpful, if responsive at all. 
Later, the national recession hit and I got well behind on my loan. So much so that I had a garnishment put on my wages. XXXX, through Pioneer Credit Recovery, started me on what they called a rehabilitation program in order to bring my loans current. I finished the program and believed that my loan was current and that, as ( now ) Navient explained in their correspondence, all negative effects would be removed from my credit. However, apparently the rehabilitation program only affected my Federal loans and did not rehabilitate the past due private loans. These private loans still show as delinquent on my credit report. Navient made no attempt to inform me that the rehabilitation would n't repair my entire account. 
Each month, I pay {$150.00} through automatic payment to Navient. Yet with them still showing that loans are delinquent, my balance never goes down and my credit is in major disrepair.",,"Navient Solutions, LLC.",CO,802XX,,Consent provided,Web,03-04-2017,Closed with explanation,Yes,Yes,2371880
04/21/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,WA,980XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2447215
04/18/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,CA,93955,Servicemember,Consent not provided,Web,04/18/2017,Closed with explanation,Yes,No,2440722
04-04-2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,CARRINGTON MORTGAGE SERVICES,WA,980XX,,,Web,04-04-2017,Closed with explanation,Yes,No,2419603
03-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"This debt is from a residence of 4 years ago, we were never sent a letter of intent to collect a debt. I did not receive a notice of right to dispute, nor did I receive any phone calls to collect a debt from XXXX XXXX, as I did n't realize I was being charged. Upon review of my credit report, the balance was sent to collections. I called the collection company to offer a settlement of {$500.00} and she laughed at me over the phone, lied to me about her title at the company, and then was very offensive, talking to me like a child. She offered me a settlement amount that was over my means, telling me that her supervisor approved that amount. When I asked to speak to a different supervisor, she stated "" I AM THE SUPERVISOR LADY '', and she was very rude and offensive. I then spoke to another "" supervisor '' who stated she was the supervisor, and unfortunately they could n't help me lower the settlement amount.",,"Quality Recovery Services, Inc.",IL,604XX,,Consent provided,Web,03-03-2016,Closed with explanation,No,No,1816071
04-11-2017,Bank account or service,Other bank product/service,Using a debit or ATM card,,,,"CITIZENS FINANCIAL GROUP, INC.",MA,024XX,,,Web,04-12-2017,Closed with monetary relief,Yes,No,2427886
04/21/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,MD,20745,Servicemember,Consent not provided,Web,04/21/2017,Closed with explanation,Yes,No,2446688
03/31/2017,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,95404,,N/A,Postal mail,03/31/2017,Closed with explanation,Yes,No,2414476
04/18/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,,,"Navient Solutions, LLC.",NY,13440,Servicemember,,Web,04/18/2017,Closed with explanation,Yes,No,2439779
04-10-2017,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,NE,89108,"Older American, Servicemember",N/A,Phone,04-10-2017,Closed with explanation,Yes,No,2427890
10/19/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,"This morning XX/XX/2016 I received a phone call during my working hours by a collection company call Quality Recovery Service, Inc My boss told the woman that was in classroom with my students and could she take a message. The woman said no because I really need to speak to her about a personal issues. I have ask them not to call me on my job at all but they did anyway by harassment me. She was very unprofessional and extroidnarily accusatory towards me on the phone. The woman on phone stated that she 's been trying to call me but I have n't received no phone calls on my personal phone but on my job only. Then she threatened me by saying she will have my wages garnish and and take legal actions towards me if I do n't make any payments. She was so rude on phone with and hung up the phone on me.",Company believes it acted appropriately as authorized by contract or law,"Quality Recovery Services, Inc.",GA,300XX,,Consent provided,Web,12-06-2016,Closed with explanation,No,No,2168493
03-01-2016,Debt collection,Medical,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,"Alpine Credit, Inc",CO,80003,Servicemember,Consent not provided,Web,03-03-2016,Closed with explanation,No,No,1810842
12-06-2016,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NY,10708,,Consent not provided,Web,12-06-2016,Closed with explanation,Yes,No,2235997
03/19/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,28206,,Consent not provided,Web,03/20/2017,Closed with non-monetary relief,Yes,No,2394133
12-12-2011,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WI,54914,,N/A,Phone,12/14/2011,Closed without relief,Yes,No,5087
03/26/2017,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,,"Alpine Credit, Inc",AZ,853XX,,,Web,03/27/2017,Closed with explanation,No,No,2404110
04/18/2017,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Revenue Recovery Systems,GA,301XX,,,Web,04/18/2017,Untimely response,No,No,2440291
04-11-2017,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",IL,60628,,N/A,Postal mail,04-12-2017,Closed with explanation,Yes,No,2429209
04-08-2017,Credit card,,Other fee,,"I obtained a Barclaycard, MasterCard Gold Card, with the agreement under SCRA benefits that the annual {$990.00} fee would be waived while I remained on XXXX military service. Recently I received notice in the mail that Barclaycard is now revoking their promise to honor this agreement and will be applying the annual fee at the one year mark in XX/XX/2017 ( my ownership of the account ).",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,234XX,Servicemember,Consent provided,Web,04-08-2017,Closed with explanation,Yes,No,2426023
04-01-2017,Credit card,,Late fee,,,,CAPITAL ONE FINANCIAL CORPORATION,GA,300XX,,,Web,04-04-2017,Closed with explanation,Yes,No,2414890
03/22/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33705,,N/A,Referral,03/22/2017,Closed with non-monetary relief,Yes,No,2398632
03-05-2017,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",SC,29803,,Consent not provided,Web,03-05-2017,Closed with explanation,Yes,No,2371929
04/20/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WAKEFIELD & ASSOCIATES, INC.",NM,87114,,Consent not provided,Web,04/20/2017,Closed with explanation,Yes,No,2444946
04/17/2017,Credit reporting,,Incorrect information on credit report,Personal information,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33324,,Consent not provided,Web,04/17/2017,Closed with non-monetary relief,Yes,No,2439253
04/20/2017,Credit card,,Payoff process,,,,Alliance Data Card Services,CO,80002,,,Web,04/20/2017,Closed with monetary relief,Yes,No,2442964
10-03-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,I have some medical bills that was sent to collection due to non-payment as my employment ended/changed. I needed time to get back my feet. The last month I had paid what I owed based on what was showing on my credit history. I paid the balance off and last Friday I received another notification about another medical bill. I was trying to obtain some information and the lady that I was speaking with was very rude and unprofessional. She was very combative and would not allow me to speak. I was getting frustrated because of the way I was treated. I ended the call as I was not being treated with respect.,,TRANSWORLD SYSTEMS INC,WA,980XX,,Consent provided,Web,11-07-2016,Closed with explanation,Yes,No,2144108
04/19/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,EVERBANK,GA,303XX,,,Web,04/20/2017,In progress,Yes,No,2443398
04/18/2017,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,STONEGATE MORTGAGE CORPORATION,OH,432XX,,,Web,04/18/2017,Closed with explanation,No,No,2439794
04/19/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Statebridge Company,OH,432XX,,,Web,04/19/2017,In progress,Yes,No,2439424
04/20/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,"SANTANDER BANK, NATIONAL ASSOCIATION",PA,194XX,,,Web,04/20/2017,In progress,Yes,No,2445782
11/22/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,NATIONSTAR MORTGAGE,CA,92596,,Consent not provided,Web,11/22/2015,Closed with explanation,Yes,No,1667107
03/25/2017,Credit reporting,,Incorrect information on credit report,Account status,"I have a credit account with XXXX. I have paid the bill on time with just {$95.00} remaining on a {$1900.00} credit line account. XXXX has reported my account AS CLOSED, DELINQUENT 120 DAYS with {$8.00} per month being paid monthly. This appears as an ADVERSE ACCOUNT on my credit report. I have never made an {$8.00} payment as stated in the report. In fact, some of the payments were made in the amounts of {$800.00} and {$530.00}.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,070XX,Older American,Consent provided,Web,03/25/2017,Closed with explanation,Yes,No,2404531
03/22/2017,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,FRAUDULENT BILLING FROM COLLECTOR FOR INCOMPETENT HOSPITAL BILLING DEPT.I HAD 100 PERCENT COVERAGE INSURANCE FROM ONE OF THE LARGEST MINING COMPANIES IN THE WORLD.XXXX PAID OR WOULD PAY XXXX PER CENT IF THEY WERE BILLED WHEN I PROVIDED COVERAGE INFO AT TIME OF SERVICE.SEE ONGOING CFPB INVEST. XXXX AGAINST COLLECTOR,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,CA,922XX,,Consent provided,Web,03/22/2017,Closed with explanation,Yes,No,2399978
04/21/2017,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,PORTFOLIO RECOVERY ASSOCIATES INC,MD,21239,,N/A,Phone,04/21/2017,Closed with explanation,Yes,No,2446974
03-05-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Convergent Resources, Inc.",FL,33023,,Consent not provided,Web,03-05-2017,Closed with explanation,Yes,No,2371869
04-10-2017,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"Mid-Minnesota Management Services, Inc.",MN,55407,,,Web,04/21/2017,Closed with explanation,Yes,No,2426899
04/21/2017,Debt collection,Medical,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,AAA Collections,SD,574XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2443849
05/14/2014,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,NJ,8002,,N/A,Referral,05/16/2014,Closed with explanation,Yes,No,851520
04/19/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,761XX,,,Web,04/20/2017,In progress,Yes,No,2442111
03-10-2017,Credit card,,Billing disputes,,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,MD,21037,,Consent not provided,Web,03-10-2017,Closed with monetary relief,Yes,No,2380901
03/22/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,34685,,N/A,Postal mail,03/22/2017,Closed with non-monetary relief,Yes,No,2399527
04/21/2017,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32828,,Consent not provided,Web,04/21/2017,Closed with explanation,Yes,No,2445950
04/21/2017,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,917XX,,,Web,04/21/2017,In progress,Yes,No,2446830
03/22/2017,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,MN,55406,Servicemember,Consent not provided,Web,03/22/2017,Closed with explanation,Yes,No,2399946
04/22/2017,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,933XX,Older American,Other,Web,04/22/2017,In progress,Yes,No,2447032
03-05-2017,Credit card,,Closing/Cancelling account,,"Opened credit card with Chase Business Ink credit card back XX/XX/XXXX. I made a {$3000.00} down payment for a concrete garage floor. Prior to my pay off and cancellation, i inquired about the dispute process since i was having a fallout with the contractor. The credit card company told me i had 560 days for a max extension to dispute from the date of transaction which would extend me to XX/XX/XXXX. The contractor had not installed the garage floor till XX/XX/XXXX due to his backlog. When garage floor was installed the credit card was already cancelled since i had paid the balance off. I anticipated issues due to history of contractors and ended up being correct. There was faulty workmanship discovered. I contacted Chase Ink to dispute and they "" purged '' my account just a few months later after it was closed. Sent a fax to the correspondence team ( only fax provided ) with no response yet my fax went via ( proof of sent/received time stamp ) .The customer service dept states once the account is purged there is nothing they can do about it. I have the right as a consumer to dispute and this purge now violates my rights for consumer protection. I have also sent a request to the Chase XXXX office. I told them they have the legal obligation to hold records for a certain period of time. I can understand if something was purged after a few years but a few months later? 
Downpayment of $ XXXX in XX/XX/XXXX but final payment to contractor since work finished was XX/XX/XXXX. I filed a complaint with Chase Ink to unpurge my account XX/XX/XXXX to dispute the $ XXXX.",,JPMORGAN CHASE & CO.,MN,553XX,,Consent provided,Web,03-05-2017,Closed with explanation,Yes,No,2372334
04/21/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,605XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2446587
04/20/2017,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NC,28753,,N/A,Referral,04/21/2017,In progress,Yes,No,2445855
04/20/2017,Credit reporting,,Incorrect information on credit report,Account status,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CT,6831,Older American,N/A,Fax,04/21/2017,Closed with explanation,Yes,No,2443881
03/22/2017,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"I used the annual credit report site, entered all required data, Experian and XXXX both said they could not confirm identity, did not even offer an chance to access XXXX, and there were no options to find out why they could not confirm identity, the only option was to back out and then wait a year to try again. I used the phone to request the reports and they needed less info than online, but said it would take 3 weeks before I got it when I needed it for a legal matter right now. All I can say is that this site is about as useful as your other one, the 'Do Not Call Registry ', and that is sarcasm, not praise.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,287XX,,Consent provided,Web,03/22/2017,Closed with explanation,Yes,No,2400002
04/19/2017,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,PORTFOLIO RECOVERY ASSOCIATES INC,GA,300XX,,,Web,04/19/2017,Closed with explanation,Yes,No,2442390
04/22/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,17025,,N/A,Postal mail,04/25/2016,Closed with non-monetary relief,Yes,No,1893211
12-03-2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,FL,32086,,N/A,Postal mail,12-08-2015,Closed with non-monetary relief,Yes,No,1682363
04/18/2017,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,ENCORE CAPITAL GROUP INC.,FL,,,N/A,Referral,04/19/2017,Closed with non-monetary relief,Yes,No,2440572
04/20/2017,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,,"Capio Partners, LLC",TN,37865,Older American,,Web,04/20/2017,Closed with non-monetary relief,Yes,No,2444673
03/23/2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"Phoenix Financial Services, LLC continues to report XXXX that was paid by my insurance company as money that I still owe and they are reporting this as unpaid on my credit report. This bill was never my responsibility and was always covered under my health insurance plan. XXXX contacted this company in XX/XX/XXXX with me on the line and told them that this bill was paid and was the responsibility of XXXX. They said sorry for the error and they would remove this. It is now XX/XX/XXXX and it is still being reported on my credit report. I contacted all XXXX credit reporting agencies and disputed this error and it continues to remain on my credit report.",Company believes it acted appropriately as authorized by contract or law,Phoenix Financial Services LLC,CO,802XX,Servicemember,Consent provided,Web,03/23/2017,Closed with explanation,Yes,No,2400971
04/18/2017,Credit card,,Other,,,,Resurgent Capital Services L.P.,AR,72202,,,Web,04/19/2017,Closed with explanation,Yes,No,2440565
04/18/2017,Credit card,,Delinquent account,,,,JPMORGAN CHASE & CO.,CA,900XX,,,Web,04/18/2017,Closed with explanation,Yes,No,2441414
04/20/2017,Credit card,,Transaction issue,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60613,,N/A,Referral,04/21/2017,Closed with non-monetary relief,Yes,No,2445590
10/16/2014,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,,,REGIONAL MANAGEMENT CORPORATION,OK,73160,,N/A,Web,10/22/2014,Closed with explanation,Yes,No,1075048
04/19/2017,Bank account or service,Checking account,"Account opening, closing, or management",,,,PNC Bank N.A.,NJ,7010,,,Web,04/19/2017,In progress,Yes,No,2443302
04-12-2017,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,75249,,N/A,Postal mail,04-12-2017,Closed with non-monetary relief,Yes,No,2431845
04/20/2017,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,Company believes it acted appropriately as authorized by contract or law,NETSPEND CORPORATION,NV,890XX,,,Web,04/21/2017,Closed with explanation,Yes,No,2444537
03/22/2017,Credit reporting,,Incorrect information on credit report,Account terms,,,EXPERIAN DELAWARE GP,FL,32855,,,Web,03/22/2017,Closed with explanation,Yes,No,2398899
